http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt



Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1902:1:16:0 -0.305376 0.527935 0.078252 -0.608469
1902:2:16:0 -0.138056 0.440435 0.0185714 -0.367559
1902:3:16:0 -0.25624 0.650558 0.0604846 -0.611761
1902:4:16:0 0.266884 0.510539 0.0987037 -0.0377375
1902:5:16:0 0.611485 0.593539 -0.401002 0.515217
1902:6:16:0 0.530381 1.05961 -0.483714 0.242432
1902:7:16:0 0.746126 1.19616 -0.413137 0.354615
1902:8:16:0 0.689243 0.847173 -0.419059 0.475186
1902:9:16:0 0.903922 0.906654 -0.661729 0.78146
1902:10:16:0 0.830726 1.38498 -0.595162 0.435819
1902:11:16:0 0.775775 1.21308 -0.560581 0.449526
1902:12:16:0 0.601405 0.621308 -0.46016 0.520831
1903:1:16:0 0.709461 0.347442 -0.315717 0.693599
1903:2:16:0 0.804327 -0.308112 -0.0916605 1.00421
1903:3:16:0 0.725229 -0.249807 -0.268466 0.984365
1903:4:16:0 0.480756 -0.540576 -0.160533 0.831311
1903:5:16:0 0.245771 -0.30899 -0.0962577 0.448395
1903:6:16:0 0.495922 -0.034288 -0.477277 0.751704
1903:7:16:0 -0.0227958 -0.468195 -0.163546 0.293075
1903:8:16:0 0.214533 -0.709086 -0.167506 0.652829
1903:9:16:0 -0.0666073 -0.782292 -0.187603 0.41834
1903:10:16:0 -0.124761 -0.817907 -0.145696 0.357041
1903:11:16:0 -0.252989 -0.534418 -0.28361 0.156025
1903:12:16:0 -0.337867 -0.676444 -0.153932 0.0773211
1904:1:16:0 -0.67121 -0.0660707 -0.035594 -0.620377
1904:2:16:0 -0.436257 -0.482471 -0.211838 -0.0891019
1904:3:16:0 -0.255835 -0.654604 -0.138754 0.140843
1904:4:16:0 -0.265733 -0.650625 -0.299486 0.209322
1904:5:16:0 -0.40004 0.080627 -0.30243 -0.289138
1904:6:16:0 -0.103591 0.0157986 -0.309217 0.0431176
1904:7:16:0 0.233522 0.520524 -0.308902 0.127711
1904:8:16:0 0.137444 0.835281 -0.563333 0.00147015
1904:9:16:0 0.0531236 0.513034 -0.323582 -0.0416025
1904:10:16:0 0.512176 0.74528 -0.415669 0.34737
1904:11:16:0 -0.148761 0.744264 -0.307063 -0.367362
1904:12:16:0 0.486115 0.495835 -0.119262 0.297829
1905:1:16:0 0.30973 0.515159 -0.417515 0.260908
1905:2:16:0 0.586362 0.129875 -0.298132 0.670491
