https://climatedataguide.ucar.edu/sites/default/files/nao_station_monthly.txt
Hurrell Station-Based Monthly NAO Index
       Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
1990   3.0   3.2   2.3   3.1  -2.0   1.0  -0.1   0.9  -0.7   0.5  -1.1   1.1
1991   0.7   0.5  -0.1   1.1   1.0  -0.9  -1.4   1.6  -0.5  -0.3   1.6   0.2
1992  -1.0   2.0   2.0   1.8   0.3  -0.2  -0.2   2.3  -0.5  -1.2   2.2   1.2
1993   2.1   0.3   1.2   1.5  -3.6  -0.3  -0.2  -0.2  -2.6  -0.7   2.5   2.6
1994   2.0  -0.4   4.4   1.1  -0.5   2.1   0.7  -1.0  -0.1  -1.2   0.2   1.6
1995   1.4   2.3   1.8  -1.9  -0.8  -2.1  -1.4  -0.8   0.6  -0.3  -3.0  -3.8
1996  -1.8   0.9  -2.6  -1.0  -1.8   0.7   1.2   0.6  -0.6   1.6   1.0  -3.6
1997  -2.4   3.7   1.2  -1.8  -1.9  -3.1   1.1   0.7  -0.8  -2.6   0.1  -0.5
1998  -0.7   0.7   0.5   0.7  -0.2  -1.0   0.3   1.5  -2.0   1.0   0.9   1.6
1999   1.3   2.2   0.2   0.0   0.4   1.2  -1.8  -2.6   0.9   0.4   0.8   1.7
2000   0.1   3.1   0.4  -2.5   1.4  -0.5  -2.9   0.4   0.2   4.5   0.0  -2.2
2001  -0.1  -0.5  -1.5   1.4  -1.0  -1.9   0.3   0.6  -2.8   0.9   1.4  -4.1
2002   0.5   1.7   0.9   2.2   1.9   1.9   1.6   0.6  -4.4  -2.0   1.3  -2.4
2003   0.4   1.2   0.5  -1.9   0.8  -0.5   0.4  -2.0  -0.6  -1.0   1.4  -1.1
2004   0.2  -1.4   1.5   1.7   0.9  -1.5  -0.8  -1.5   2.0  -2.0  -0.2   2.6
2005   1.0  -0.6  -3.0   0.2  -1.6  -1.4  -0.5   1.8   1.2  -1.5   0.7  -0.7
2006   1.0  -0.7  -1.8   1.0  -0.6   0.0  -0.3  -0.9  -0.4  -2.4   1.2   2.1
2007   1.1  -0.2   3.1  -0.1   2.9  -3.5  -1.0  -0.2  -0.1   0.9  -1.2   0.9
2008   1.4   0.4   1.6  -2.8  -2.1  -0.2   0.0   2.0   0.2   3.1   1.3   0.5
2009   1.6  -0.2   1.7   2.8   2.7  -3.8  -2.0   2.2   1.4  -2.2   2.1  -4.6
2010  -1.9  -3.6  -1.5  -2.5  -0.8  -0.3   1.7  -1.9  -0.2  -0.8  -1.5  -5.6
2011  -1.3   1.9   0.4   2.1   1.8  -0.8   0.3  -1.4   1.1   1.6   1.2   3.5
2012   1.7   1.3   0.9   0.4  -3.3  -2.5  -0.6  -2.1  -0.1  -3.3   1.6  -0.4
2013   0.8   0.1  -4.3  -0.4   3.0   1.8  -1.5   2.7  -0.2  -1.0   1.6   2.8
2014   2.0   2.2   2.2  -0.4   1.4  -1.7   0.2  -0.8  -2.1   0.1   0.6   2.9
2015   3.5   2.4   3.1  -0.1   1.9  -0.7  -2.3   1.0  -1.6  -0.6   2.7   0.8
2016   0.0   2.4   1.4  -1.7  -0.8  -0.2   0.4   0.2   2.8  -1.2   1.0   0.9
2017  -0.4   1.2   1.5  -1.0  -2.4   1.4   1.8   0.3   2.3   0.7  -1.2   0.8
2018   2.4   0.9  -1.0   1.2   3.9   0.0   1.5   2.2   0.6   1.0  -0.2   0.1
2019   0.1   0.1   2.6   0.0  -1.8  -2.5  -0.9  -0.5   1.0  -1.3   0.4   0.8
2020   2.1   3.3 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.



